fiba.com;['83.221.236.154', '83.221.236.154'];2;220887000;[];0;0
flta3lam.com;['34.102.136.180', '34.102.136.180'];2;220480000;[];0;0
flyjo.com;['89.44.47.219', '89.44.47.219'];2;0;[];0;0
foshia.net;['35.226.33.186', '35.226.33.186'];2;317129000;[];0;0
frafet.com;['104.21.3.43', '104.21.3.43', '172.67.130.57', '172.67.130.57'];4;219992000;['2606:4700:3031::6815:32b', '2606:4700:3031::6815:32b', '2606:4700:3034::ac43:8239', '2606:4700:3034::ac43:8239'];4;219862000
gag-lachayot.co.il;['88.218.116.119', '88.218.116.119'];2;227426000;[];0;0
games-free.xyz;['198.54.120.50', '198.54.120.50'];2;1323259000;[];0;0
geek-share.com;['211.149.244.190', '211.149.244.190'];2;1479897000;[];0;0
gimoka.com;['164.90.172.23', '164.90.172.23'];2;219416000;[];0;0
golinkcn.com;['104.27.146.139', '104.27.146.139'];2;0;[];0;0
goodtyping.com;['217.182.172.193', '217.182.172.193'];2;219205000;[];0;0
h-o-ev.blogspot.com;['142.250.186.161', '142.250.186.161'];2;219050000;['2a00:1450:4016:809::2001', '2a00:1450:4016:809::2001'];2;219019000
hanamdpi.gov.vn;['103.1.208.194', '103.1.208.194'];2;3352590000;[];0;0
hayatechsa.com;['157.90.48.124', '157.90.48.124'];2;218735000;[];0;0
hdr-kora.xyz;['216.239.32.21', '216.239.36.21', '216.239.34.21', '216.239.34.21', '216.239.38.21', '216.239.38.21', '216.239.32.21', '216.239.36.21'];8;218594000;[];0;0
hixjen.com;['93.89.224.117', '93.89.224.117'];2;219296000;[];0;0
hungyenbusiness.gov.vn;['103.1.208.194', '103.1.208.194'];2;3350189000;[];0;0
infoedro.net;['144.76.49.242', '144.76.49.242'];2;218262000;[];0;0
iosdesignkit.io;['34.255.141.168', '34.255.141.168'];2;218512000;[];0;0
jezantv.com;['136.243.51.231', '136.243.51.231'];2;218118000;[];0;0
jobs-tunisia.blogspot.com;['142.250.186.161', '142.250.186.161', '142.251.37.1', '142.251.37.1'];4;217963000;['2a00:1450:4016:809::2001', '2a00:1450:4016:809::2001'];2;217923000
justmepal.blogspot.com;['142.251.36.225', '142.251.36.225', '142.250.186.161', '142.250.186.161', '142.251.37.1', '142.251.37.1'];6;217828000;['2a00:1450:4016:80b::2001', '2a00:1450:4016:80b::2001', '2a00:1450:4016:809::2001', '2a00:1450:4016:809::2001'];4;217727000
kanannews.net;['172.67.75.215', '104.26.3.155', '104.26.2.155', '172.67.75.215', '104.26.3.155', '104.26.2.155'];6;217459000;['2606:4700:20::681a:29b', '2606:4700:20::681a:29b', '2606:4700:20::681a:39b', '2606:4700:20::681a:39b', '2606:4700:20::ac43:4bd7', '2606:4700:20::ac43:4bd7'];6;217306000
khdamti.com;[];0;0;[];0;0
khleji.com;['172.67.157.245', '172.67.157.245', '104.21.58.77', '104.21.58.77'];4;217292000;['2606:4700:3033::ac43:9df5', '2606:4700:3033::ac43:9df5', '2606:4700:3037::6815:3a4d', '2606:4700:3037::6815:3a4d'];4;217090000
kixeye.com;['54.71.176.65', '54.71.176.65', '52.27.239.236', '52.27.239.236', '52.10.184.151', '52.10.184.151'];6;419010000;[];0;0
koat.com;['151.101.129.114', '151.101.193.114', '151.101.65.114', '151.101.65.114', '151.101.1.114', '151.101.1.114', '151.101.129.114', '151.101.193.114'];8;216938000;[];0;0
konuz.net;['172.67.223.164', '172.67.223.164', '104.21.38.143', '104.21.38.143'];4;216977000;['2606:4700:3031::ac43:dfa4', '2606:4700:3031::ac43:dfa4', '2606:4700:3031::6815:268f', '2606:4700:3031::6815:268f'];4;216769000
kooora2day.online;['104.21.66.102', '172.67.159.7', '104.21.66.102', '172.67.159.7'];4;216728000;['2606:4700:3035::6815:4266', '2606:4700:3035::6815:4266', '2606:4700:3032::ac43:9f07', '2606:4700:3032::ac43:9f07'];4;216440000
labour.gov.ls;['41.203.191.124', '41.203.191.124'];2;436899000;[];0;0
likeitviral.com;['172.67.219.162', '172.67.219.162', '104.21.94.47', '104.21.94.47'];4;216290000;[];0;0
luxurycode.qa;['74.220.219.222', '74.220.219.222'];2;407757000;[];0;0
maimai.cn;['106.75.23.100', '106.75.23.100'];2;428291000;[];0;0
manukahoneyherbs.com;['172.67.175.59', '172.67.175.59', '104.21.31.65', '104.21.31.65'];4;215950000;['2606:4700:3035::ac43:af3b', '2606:4700:3035::ac43:af3b', '2606:4700:3036::6815:1f41', '2606:4700:3036::6815:1f41'];4;215740000
marstranslation.com;['54.211.200.20', '54.211.200.20', '107.20.69.4', '107.20.69.4'];4;322072000;[];0;0
mashreqins.com;['82.213.33.100', '82.213.33.100'];2;222760000;[];0;0
mcihost.ml;['152.44.37.46', '152.44.37.46'];2;330678000;['2605:7380:1000:1310:485c:5eff:fe23:6f93', '2605:7380:1000:1310:485c:5eff:fe23:6f93'];2;330589000
medannws.com;['162.55.92.17', '162.55.92.17'];2;215306000;[];0;0
medanps.com;['162.55.92.17', '162.55.92.17'];2;215225000;[];0;0
mixbanat.com;['172.67.146.184', '172.67.146.184', '104.21.39.157', '104.21.39.157'];4;215116000;['2606:4700:3030::6815:279d', '2606:4700:3030::6815:279d', '2606:4700:3037::ac43:92b8', '2606:4700:3037::ac43:92b8'];4;214909000
mobtkr.com;['104.21.55.3', '104.21.55.3', '172.67.143.194', '172.67.143.194'];4;214927000;['2606:4700:3033::ac43:8fc2', '2606:4700:3033::ac43:8fc2', '2606:4700:3035::6815:3703', '2606:4700:3035::6815:3703'];4;214665000
mosa.gov.ps;['213.244.86.35', '213.244.86.35'];2;275199000;[];0;0
mot.gov.ps;['82.213.34.50', '82.213.34.50'];2;258053000;[];0;0
mpiads.com;['172.67.132.80', '172.67.132.80', '104.21.4.176', '104.21.4.176'];4;214417000;['2606:4700:3031::6815:4b0', '2606:4700:3031::6815:4b0', '2606:4700:3032::ac43:8450', '2606:4700:3032::ac43:8450'];4;214182000
mshaweer.net;['144.91.72.77', '144.91.72.77'];2;214164000;[];0;0
myfreshforex.herokuapp.com;['54.205.8.205', '18.211.231.38', '54.235.77.118', '54.235.77.118', '174.129.128.48', '174.129.128.48', '54.205.8.205', '18.211.231.38'];8;320339000;[];0;0
mystore.com.sa;['13.248.211.117', '13.248.211.117', '76.223.91.164', '76.223.91.164'];4;213668000;[];0;0
mytext.ga;['185.27.134.137', '185.27.134.137'];2;214256000;[];0;0
nasmat.cam;['172.67.181.231', '172.67.181.231', '104.21.18.135', '104.21.18.135'];4;213730000;['2606:4700:3030::6815:1287', '2606:4700:3030::6815:1287', '2606:4700:3033::ac43:b5e7', '2606:4700:3033::ac43:b5e7'];4;213497000
nawaculture.org;['159.69.84.181', '159.69.84.181'];2;213438000;[];0;0
nedcoent.ps;[];0;0;[];0;0
newnext.eu;['92.204.217.96', '92.204.217.96'];2;213385000;[];0;0
newsmartmachine.com;['205.144.171.7', '205.144.171.7'];2;414961000;[];0;0
nicolewalkerbailbonds.com;['35.173.162.147', '35.173.162.147'];2;309500000;[];0;0
nongki.my.id;['45.64.97.106', '45.64.97.106'];2;404578000;[];0;0
nongphue-kw.go.th;['119.59.103.203', '119.59.103.203'];2;1306489000;[];0;0
nortonlewis.com;['104.21.3.205', '104.21.3.205', '172.67.131.45', '172.67.131.45'];4;212881000;['2606:4700:3032::6815:3cd', '2606:4700:3032::6815:3cd', '2606:4700:3034::ac43:832d', '2606:4700:3034::ac43:832d'];4;212763000
nowtornado.blogspot.com;['142.250.186.161', '142.251.37.1', '142.251.36.225', '142.251.36.225', '142.250.185.225', '142.250.185.225', '142.251.37.1', '142.250.186.161'];8;212679000;['2a00:1450:4016:809::2001', '2a00:1450:4016:809::2001'];2;212674000
ofeq-sa.com;['213.32.11.15', '213.32.11.15'];2;212525000;[];0;0
