"fiba.com";[83.221.236.154:80];1;16103770;[];0;0
"flta3lam.com";[34.102.136.180:80];1;3969708;[];0;0
"flyjo.com";[89.44.47.219:80];1;0;[];0;0
"foshia.net";[35.226.33.186:80];1;107107894;[];0;0
"frafet.com";[104.21.3.43:80, 172.67.130.57:80];2;1339879;[[2606:4700:3031::6815:32b]:80, [2606:4700:3034::ac43:8239]:80];2;2443960
"gag-lachayot.co.il";[88.218.116.119:80];1;83423534;[];0;0
"games-free.xyz";[198.54.120.50:80];1;154616925;[];0;0
"geek-share.com";[211.149.244.190:80];1;233196347;[];0;0
"gimoka.com";[164.90.172.23:80];1;1302024;[];0;0
"golinkcn.com";[104.27.146.139:80];1;0;[];0;0
"goodtyping.com";[217.182.172.193:80];1;10107576;[];0;0
"h-o-ev.blogspot.com";[142.250.186.65:80];1;1328064;[[2a00:1450:4001:827::2001]:80];1;2464079
"hanamdpi.gov.vn";[103.1.208.194:80];1;280088615;[];0;0
"hayatechsa.com";[157.90.48.124:80];1;6344510;[];0;0
"hdr-kora.xyz";[216.239.32.21:80, 216.239.34.21:80, 216.239.36.21:80, 216.239.38.21:80];4;2555505;[];0;0
"hixjen.com";[93.89.224.117:80];1;38815346;[];0;0
"hungyenbusiness.gov.vn";[103.1.208.194:80];1;338219389;[];0;0
"infoedro.net";[144.76.49.242:80];1;6301300;[];0;0
"iosdesignkit.io";[34.255.141.168:80];1;25332738;[];0;0
"jezantv.com";[136.243.51.231:80];1;5845635;[];0;0
"jobs-tunisia.blogspot.com";[142.250.186.65:80];1;1198171;[[2a00:1450:4001:827::2001]:80];1;2598335
"justmepal.blogspot.com";[142.250.186.65:80];1;1536111;[[2a00:1450:4001:827::2001]:80];1;2130404
"kanannews.net";[104.26.2.155:80, 104.26.3.155:80, 172.67.75.215:80];3;2087372;[[2606:4700:20::681a:29b]:80, [2606:4700:20::681a:39b]:80, [2606:4700:20::ac43:4bd7]:80];3;3675473
"khdamti.com";[];0;0;[];0;0
"khleji.com";[104.21.58.77:80, 172.67.157.245:80];2;1160323;[[2606:4700:3033::ac43:9df5]:80, [2606:4700:3037::6815:3a4d]:80];2;2583132
"kixeye.com";[52.10.184.151:80, 52.27.239.236:80, 54.71.176.65:80];3;145131852;[];0;0
"koat.com";[151.101.1.114:80, 151.101.65.114:80, 151.101.129.114:80, 151.101.193.114:80];4;2478383;[];0;0
"konuz.net";[104.21.38.143:80, 172.67.223.164:80];2;1135457;[[2606:4700:3031::6815:268f]:80, [2606:4700:3031::ac43:dfa4]:80];2;2493367
"kooora2day.online";[104.21.66.102:80, 172.67.159.7:80];2;1768843;[[2606:4700:3032::ac43:9f07]:80, [2606:4700:3035::6815:4266]:80];2;2816007
"labour.gov.ls";[41.203.191.124:80];1;180975172;[];0;0
"likeitviral.com";[104.21.94.47:80, 172.67.219.162:80];2;1759392;[];0;0
"luxurycode.qa";[74.220.219.222:80];1;154721507;[];0;0
"maimai.cn";[106.75.23.100:80];1;233881529;[];0;0
"manukahoneyherbs.com";[104.21.31.65:80, 172.67.175.59:80];2;2031622;[[2606:4700:3035::ac43:af3b]:80, [2606:4700:3036::6815:1f41]:80];2;2870383
"marstranslation.com";[54.211.200.20:80, 107.20.69.4:80];2;89338070;[];0;0
"mashreqins.com";[82.213.33.100:80];1;64355659;[];0;0
"mcihost.ml";[152.44.37.46:80];1;101021093;[[2605:7380:1000:1310:485c:5eff:fe23:6f93]:80];1;104696559
"medannws.com";[162.55.92.17:80];1;6610872;[];0;0
"medanps.com";[162.55.92.17:80];1;7210612;[];0;0
"mixbanat.com";[104.21.39.157:80, 172.67.146.184:80];2;1945290;[[2606:4700:3030::6815:279d]:80, [2606:4700:3037::ac43:92b8]:80];2;2954033
"mobtkr.com";[104.21.55.3:80, 172.67.143.194:80];2;1989501;[[2606:4700:3033::ac43:8fc2]:80, [2606:4700:3035::6815:3703]:80];2;2953606
"mosa.gov.ps";[213.244.86.35:80];1;67592237;[];0;0
"mot.gov.ps";[82.213.34.50:80];1;68032457;[];0;0
"mpiads.com";[104.21.4.176:80, 172.67.132.80:80];2;2449374;[[2606:4700:3031::6815:4b0]:80, [2606:4700:3032::ac43:8450]:80];2;2976263
"mshaweer.net";[144.91.72.77:80];1;7149930;[];0;0
"myfreshforex.herokuapp.com";[18.211.231.38:80, 54.205.8.205:80, 54.235.77.118:80, 174.129.128.48:80];4;90103494;[];0;0
"mystore.com.sa";[13.248.211.117:80, 76.223.91.164:80];2;2052891;[];0;0
"mytext.ga";[185.27.134.137:80];1;23134761;[];0;0
"nasmat.cam";[104.21.18.135:80, 172.67.181.231:80];2;2110996;[[2606:4700:3030::6815:1287]:80, [2606:4700:3033::ac43:b5e7]:80];2;3981869
"nawaculture.org";[159.69.84.181:80];1;6763064;[];0;0
"nedcoent.ps";[];0;0;[];0;0
"newnext.eu";[92.204.217.96:80];1;6579351;[];0;0
"newsmartmachine.com";[205.144.171.7:80];1;154847136;[];0;0
"nicolewalkerbailbonds.com";[35.173.162.147:80];1;89683039;[];0;0
"nongki.my.id";[45.64.97.106:80];1;175901637;[];0;0
"nongphue-kw.go.th";[119.59.103.203:80];1;234159989;[];0;0
"nortonlewis.com";[104.21.3.205:80, 172.67.131.45:80];2;3250800;[[2606:4700:3032::6815:3cd]:80, [2606:4700:3034::ac43:832d]:80];2;3060274
"nowtornado.blogspot.com";[142.250.186.65:80];1;2795123;[[2a00:1450:4001:827::2001]:80];1;2365050
"ofeq-sa.com";[213.32.11.15:80];1;10541748;[];0;0
"official-quicklink-app.herokuapp.com";[34.201.81.34:80, 54.208.186.182:80, 54.224.34.30:80, 54.243.129.215:80];4;89821350;[];0;0
"omegafi.com";[148.66.202.132:80];1;125827683;[];0;0
